Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result, Var Actual, Var Target, Var Min Allowed, Var Max Allowed
, , , , , , , Pass, 537.935, 900.0, 500.0, 1300.0
, , , , , , , Fail, -39.707, 900.0, 191.7, 1300.0
, , , , , , , Pass, -4.483, 755.2, -19.8, 1300.0
, , , , , , , Pass, -113.665, 529.5, -245.5, 1300.0
, , , , , , , Pass, -107.891, 319.1, -400.0, 1094.1
, , , , , , , Pass, -115.15, 80.6, -400.0, 855.6
, , , , , , , Pass, -111.6, 0.0, -400.0, 400.0
, , , , , , , Pass, -118.941, 0.0, -400.0, 400.0
, , , , , , , Pass, -116.401, 0.0, -400.0, 400.0
, , , , , , , Fail, -774.145, 0.0, -650.9, 400.0
, , , , , , , Pass, -789.486, -108.4, -883.4, 400.0
, , , , , , , Pass, -796.089, -318.0, -1093.0, 400.0
, , , , , , , Pass, -821.309, -540.0, -1300.0, 235.0
, , , , , , , Pass, -804.985, -777.4, -1300.0, -2.4
, , , , , , , Pass, -785.762, -900.0, -1300.0, -500.0
, , , , , , , Pass, -812.621, -900.0, -1300.0, -500.0
, , , , , , , Pass, -815.32, -900.0, -1300.0, -500.0
Fail, VV_2_20_up_3, Reactive, 20.0, 3, 400.0, VV_2_20_up_3.csv, , , , , 
